id,title,overview,tagline,genres_str,genres_names,keywords_names,release_date,release_year,budget,revenue,runtime,popularity,vote_average,vote_count,production_companies_names,cast_names,original_language,status,combined_features
19995,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",Enter the World of Pandora.,Action|Adventure|Fantasy|Science Fiction,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien']",2009-12-10,2009.0,237000000,2787965087,162.0,150.437577,7.2,11800,"['Ingenious Film Partners', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Stephen Lang', 'Michelle Rodriguez']",en,Released,action adventure fantasy science fiction culture clash future space war space colony society sam worthington zoe saldana sigourney weaver ingenious film partners twentieth century fox film corporation
285,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.","At the end of the world, the adventure begins.",Adventure|Fantasy|Action,"['Adventure', 'Fantasy', 'Action']","['ocean', 'drug abuse', 'exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'ship', 'alliance']",2007-05-19,2007.0,300000000,961000000,169.0,139.082615,6.9,4500,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Chow Yun-fat']",en,Released,adventure fantasy action ocean drug abuse exotic island east india trading company love of one's life johnny depp orlando bloom keira knightley walt disney pictures jerry bruckheimer films
206647,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",A Plan No One Escapes,Action|Adventure|Crime,"['Action', 'Adventure', 'Crime']","['spy', 'based on novel', 'secret agent', 'sequel', 'mi6', 'british secret service', 'united kingdom']",2015-10-26,2015.0,245000000,880674609,148.0,107.376788,6.3,4466,"['Columbia Pictures', 'Danjaq', 'B24']","['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux', 'Ralph Fiennes', 'Monica Bellucci']",en,Released,action adventure crime spy based on novel secret agent sequel mi6 daniel craig christoph waltz léa seydoux columbia pictures danjaq
49026,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",The Legend Ends,Action|Crime|Drama|Thriller,"['Action', 'Crime', 'Drama', 'Thriller']","['dc comics', 'crime fighter', 'terrorist', 'secret identity', 'burglar', 'hostage drama', 'time bomb', 'gotham city', 'vigilante', 'cover-up']",2012-07-16,2012.0,250000000,1084939099,165.0,112.31295,7.6,9106,"['Legendary Pictures', 'Warner Bros.', 'DC Entertainment']","['Christian Bale', 'Michael Caine', 'Gary Oldman', 'Anne Hathaway', 'Tom Hardy']",en,Released,action crime drama thriller dc comics crime fighter terrorist secret identity burglar christian bale michael caine gary oldman legendary pictures warner bros.
49529,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.","Lost in our world, found in another.",Action|Adventure|Science Fiction,"['Action', 'Adventure', 'Science Fiction']","['based on novel', 'mars', 'medallion', 'space travel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgar rice burroughs']",2012-03-07,2012.0,260000000,284139100,132.0,43.926995,6.1,2124,['Walt Disney Pictures'],"['Taylor Kitsch', 'Lynn Collins', 'Samantha Morton', 'Willem Dafoe', 'Thomas Haden Church']",en,Released,action adventure science fiction based on novel mars medallion space travel princess taylor kitsch lynn collins samantha morton walt disney pictures
559,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",The battle within.,Fantasy|Action|Adventure,"['Fantasy', 'Action', 'Adventure']","['dual identity', 'amnesia', 'sandstorm', ""love of one's life"", 'forgiveness', 'spider', 'wretch', 'death of a friend', 'egomania', 'sand']",2007-05-01,2007.0,258000000,890871626,139.0,115.699814,5.9,3576,"['Columbia Pictures', 'Laura Ziskin Productions', 'Marvel Enterprises']","['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Thomas Haden Church', 'Topher Grace']",en,Released,fantasy action adventure dual identity amnesia sandstorm love of one's life forgiveness tobey maguire kirsten dunst james franco columbia pictures laura ziskin productions
38757,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",They're taking adventure to new lengths.,Animation|Family,"['Animation', 'Family']","['hostage', 'magic', 'horse', 'fairy tale', 'musical', 'princess', 'animation', 'tower', 'blonde woman', 'selfishness']",2010-11-24,2010.0,260000000,591794936,100.0,48.681969,7.4,3330,"['Walt Disney Pictures', 'Walt Disney Animation Studios']","['Zachary Levi', 'Mandy Moore', 'Donna Murphy', 'Ron Perlman', 'M.C. Gainey']",en,Released,animation family hostage magic horse fairy tale musical zachary levi mandy moore donna murphy walt disney pictures walt disney animation studios
99861,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",A New Age Has Come.,Action|Adventure|Science Fiction,"['Action', 'Adventure', 'Science Fiction']","['marvel comic', 'sequel', 'superhero', 'based on comic book', 'vision', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe', '3d']",2015-04-22,2015.0,280000000,1405403694,141.0,134.279229,7.3,6767,"['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson']",en,Released,action adventure science fiction marvel comic sequel superhero based on comic book vision robert downey jr. chris hemsworth mark ruffalo marvel studios prime focus
767,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",Dark Secrets Revealed,Adventure|Fantasy|Family,"['Adventure', 'Fantasy', 'Family']","['witch', 'magic', 'broom', 'school of witchcraft', 'wizardry', 'apparition', 'teenage crush', 'werewolf']",2009-07-07,2009.0,250000000,933959197,153.0,98.885637,7.4,5293,"['Warner Bros.', 'Heyday Films']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Tom Felton', 'Michael Gambon']",en,Released,adventure fantasy family witch magic broom school of witchcraft wizardry daniel radcliffe rupert grint emma watson warner bros. heyday films
209112,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",Justice or revenge,Action|Adventure|Fantasy,"['Action', 'Adventure', 'Fantasy']","['dc comics', 'vigilante', 'superhero', 'based on comic book', 'revenge', 'super powers', 'clark kent', 'bruce wayne', 'dc extended universe']",2016-03-23,2016.0,250000000,873260194,151.0,155.790452,5.7,7004,"['DC Comics', 'Atlas Entertainment', 'Warner Bros.']","['Ben Affleck', 'Henry Cavill', 'Gal Gadot', 'Amy Adams', 'Jesse Eisenberg']",en,Released,action adventure fantasy dc comics vigilante superhero based on comic book revenge ben affleck henry cavill gal gadot dc comics atlas entertainment
